Model,Recall,AUC
Random Forest,0.7149321266968326,0.7604721834671797
Stacking,0.5686274509803921,0.7649382510169764
LightGBM,0.5603318250377074,0.7588746892998269
XGBoost,0.5339366515837104,0.7530486671766496
